contractid,planid,fips,plan_type,partd,avg_enrollment,avg_eligibles,avg_enrolled,premium,premium_partc,premium_partd,rebate_partc,ma_rate,bid,avg_ffscost,partc_score
H0111,1,13277,Local PPO,Yes,21,7865.25,4185.333333333333,0,0,0,119.53,1041.03,820.8881922675026,10527.061580918053,3
H0111,1,13279,Local PPO,Yes,13.5,5741.75,3143.9166666666665,0,0,0,119.53,1024.21,820.8881922675026,9477.18113757564,3
H0111,1,13285,Local PPO,Yes,78.41666666666667,13625.083333333334,7257.5,0,0,0,119.53,1039.97,820.8881922675026,10377.442100408854,3
H0111,1,13293,Local PPO,Yes,27.583333333333332,6599.166666666667,3876.4166666666665,0,0,0,119.53,1036.65,820.8881922675026,9950.33156228453,3
H0111,1,13295,Local PPO,Yes,27.666666666666668,15408.5,6963.416666666667,0,0,0,119.53,1066.91,820.8881922675026,10249.585650350902,3
H0111,1,13297,Local PPO,Yes,42.583333333333336,18777.916666666668,9978.833333333334,0,0,0,119.53,1041.45,820.8881922675026,10898.47952283964,3
H0111,1,13299,Local PPO,Yes,27.666666666666668,8092.416666666667,4146.5,0,0,0,119.53,1038.86,820.8881922675026,11964.797946782932,3
H0111,1,13303,Local PPO,Yes,14.583333333333334,4684.416666666667,2650.0833333333335,0,0,0,119.53,986.03,820.8881922675026,9789.709426940362,3
H0111,1,13305,Local PPO,Yes,23.833333333333332,6149.833333333333,3133.75,0,0,0,119.53,1014.94,820.8881922675026,10580.11710795553,3
H0111,1,13311,Local PPO,Yes,11,7666.833333333333,3893.8333333333335,0,0,0,119.53,1043.34,820.8881922675026,10354.275556345783,3
H0111,1,13313,Local PPO,Yes,41.666666666666664,17854.166666666668,5907.583333333333,0,0,0,119.53,1002.01,820.8881922675026,9953.307284980798,3
H0111,1,13317,Local PPO,Yes,16.75,2732.1666666666665,1476,0,0,0,119.53,1029.4,820.8881922675026,9817.639536668872,3
H0111,1,13321,Local PPO,Yes,12.9,4264,2441.75,0,0,0,119.53,1040.2,820.8881922675026,11017.238918882716,3
H0111,2,13051,Local PPO,Yes,24.083333333333332,53421.166666666664,27094.666666666668,55,31.9,23.1,90.11,1054.39,762.0855148342058,10205.7102928546,3
H0111,2,13057,Local PPO,Yes,17.75,47398.083333333336,21200.75,55,31.9,23.1,90.11,1025.75,762.0855148342058,11356.374859063182,3
H0111,2,13063,Local PPO,Yes,11.666666666666666,38379.666666666664,24460.833333333332,55,31.9,23.1,90.11,1092.91,762.0855148342058,9370.1237788637,3
H0111,2,13067,Local PPO,Yes,88.75,111213,50668.25,55,31.9,23.1,90.11,1065.36,762.0855148342058,10184.395836434986,3
H0111,2,13073,Local PPO,Yes,15.083333333333334,26337.666666666668,10476.166666666666,55,31.9,23.1,90.11,1002.04,762.0855148342058,8993.794076599996,3
H0111,2,13089,Local PPO,Yes,34,109529.33333333331,61715.583333333336,55,31.9,23.1,90.11,1057.11,762.0855148342058,10146.817705363232,3
H0111,2,13121,Local PPO,Yes,12,144055.08333333334,73049.58333333333,55,31.9,23.1,90.11,1058.12,762.0855148342058,10735.589581304088,3
H0111,2,13135,Local PPO,Yes,12.833333333333334,117847.5,62877.833333333336,55,31.9,23.1,90.11,1055.84,762.0855148342058,9768.469244032996,3
H0111,2,13151,Local PPO,Yes,11.5,36855.583333333336,20716.166666666668,55,31.9,23.1,90.11,1082.85,762.0855148342058,9501.837039820666,3
H0111,2,13215,Local PPO,Yes,12,36576.333333333336,17608.75,55,31.9,23.1,90.11,995.16,762.0855148342058,9772.862135279924,3
H0111,2,13233,Local PPO,Yes,15.083333333333334,8938.75,4797.833333333333,55,31.9,23.1,90.11,1009.62,762.0855148342058,11116.773926044953,3
